Date,Open,High,Low,Close,Adj Close,Volume
1985-10-01,110.620003,112.160004,110.565002,112.139999,112.139999,153160000
1985-10-02,112.139999,112.540001,110.779999,110.824997,110.824997,164640000
1985-10-03,110.839996,111.184998,110.120003,110.870003,110.870003,147300000
1985-10-04,110.870003,110.870003,109.855003,110.074997,110.074997,147900000
1985-10-07,110.074997,110.135002,108.175003,108.199997,108.199997,128640000
1985-10-08,108.199997,108.269997,106.750000,107.160004,107.160004,144100000
1985-10-09,107.160004,108.989998,107.114998,108.629997,108.629997,156200000
1985-10-10,108.629997,109.510002,107.809998,109.434998,109.434998,154840000
1985-10-11,109.434998,111.120003,109.425003,111.050003,111.050003,158220000
1985-10-14,111.050003,113.269997,111.050003,113.184998,113.184998,123120000
1985-10-15,113.184998,113.980003,112.790001,113.379997,113.379997,171360000
1985-10-16,113.379997,114.339996,113.199997,114.315002,114.315002,175120000
1985-10-17,114.315002,115.339996,114.315002,114.739998,114.739998,190940000
1985-10-18,114.739998,114.964996,113.830002,114.320000,114.320000,180880000
1985-10-21,114.320000,114.455002,113.650002,113.680000,113.680000,142800000
1985-10-22,113.800003,114.889999,113.425003,114.440002,114.440002,157740000
1985-10-23,114.440002,115.525002,114.440002,115.065002,115.065002,202200000
1985-10-24,115.065002,116.105003,115.065002,115.485001,115.485001,190860000
1985-10-25,115.485001,115.544998,113.739998,113.910004,113.910004,165840000
1985-10-28,113.910004,113.910004,113.205002,113.820000,113.820000,131460000
1985-10-29,113.820000,115.735001,113.805000,115.400002,115.400002,163400000
1985-10-30,115.400002,116.125000,115.339996,115.769997,115.769997,196040000
1985-10-31,115.769997,116.110001,115.154999,115.480003,115.480003,169920000
1985-11-01,115.480003,116.775002,115.480003,116.275002,116.275002,180180000
1985-11-04,116.275002,117.074997,115.824997,116.040001,116.040001,150680000
1985-11-05,116.040001,116.565002,115.879997,116.440002,116.440002,175360000
1985-11-06,116.440002,117.620003,116.440002,117.379997,117.379997,187000000
1985-11-07,117.379997,117.964996,117.379997,117.620003,117.620003,177280000
1985-11-08,117.620003,119.389999,117.584999,119.260002,119.260002,173520000
1985-11-11,119.260002,120.540001,119.180000,120.400002,120.400002,160780000
1985-11-12,120.389999,122.010002,120.389999,121.820000,121.820000,216600000
1985-11-13,121.820000,121.915001,120.900002,121.165001,121.165001,186420000
1985-11-14,121.165001,121.915001,120.800003,121.834999,121.834999,196080000
1985-11-15,121.834999,123.099998,121.790001,122.175003,122.175003,190540000
1985-11-18,122.175003,122.279999,121.730003,121.955002,121.955002,164420000
1985-11-19,121.955002,122.800003,121.735001,122.570000,122.570000,203600000
1985-11-20,122.570000,122.794998,122.199997,122.199997,122.199997,195200000
1985-11-21,122.199997,123.805000,122.199997,123.610001,123.610001,239800000
1985-11-22,123.610001,124.334999,123.445000,123.970001,123.970001,208400000
1985-11-25,123.970001,124.165001,122.815002,123.135002,123.135002,166860000
1985-11-26,123.135002,124.254997,123.089996,123.949997,123.949997,187260000
1985-11-27,123.949997,125.875000,123.879997,125.769997,125.769997,206600000
1985-11-29,125.769997,126.434998,125.519997,126.059998,126.059998,115180000
1985-12-02,126.059998,126.279999,124.855003,125.184998,125.184998,171520000
1985-12-03,125.184998,125.419998,124.720001,125.230003,125.230003,169080000
1985-12-04,125.230003,128.054993,125.169998,127.940002,127.940002,234400000
1985-12-05,128.070007,129.889999,127.860001,128.460007,128.460007,283000000
1985-12-06,128.460007,128.539993,126.775002,126.955002,126.955002,221600000
1985-12-09,126.955002,127.644997,126.830002,127.485001,127.485001,209600000
1985-12-10,127.485001,128.524994,127.154999,127.974998,127.974998,223600000
1985-12-11,127.974998,129.649994,127.974998,129.179993,129.179993,253000000
1985-12-12,129.179993,130.100006,129.179993,129.764999,129.764999,234600000
1985-12-13,129.764999,132.169998,129.764999,132.125000,132.125000,263400000
1985-12-16,132.125000,133.184998,132.059998,132.610001,132.610001,230600000
1985-12-17,132.544998,132.729996,131.324997,131.535004,131.535004,242000000
1985-12-18,131.524994,131.975006,130.714996,131.139999,131.139999,275800000
1985-12-19,131.139999,132.029999,130.910004,131.925003,131.925003,229800000
1985-12-20,131.925003,132.580002,131.695007,132.259995,132.259995,231600000
1985-12-23,132.259995,132.259995,130.365005,130.725006,130.725006,198820000
1985-12-24,130.725006,130.725006,129.304993,130.029999,130.029999,128560000
1985-12-26,130.029999,130.634995,129.889999,130.345001,130.345001,107800000
1985-12-27,130.345001,131.589996,130.250000,131.485001,131.485001,149820000
1985-12-30,131.485001,132.130005,131.244995,131.945007,131.945007,185640000
1985-12-31,131.945007,132.660004,131.904999,132.294998,132.294998,225400000
1986-01-02,132.294998,132.445007,131.065002,131.255005,131.255005,151620000
1986-01-03,131.255005,131.255005,130.000000,130.550003,130.550003,178360000
1986-01-06,130.550003,130.699997,129.845001,130.354996,130.354996,198480000
1986-01-07,130.354996,132.875000,130.330002,132.789993,132.789993,255000000
1986-01-08,132.789993,133.884995,131.149994,131.160004,131.160004,280000000
1986-01-09,131.005005,131.160004,128.054993,128.800003,128.800003,238800000
1986-01-10,128.800003,129.970001,128.789993,129.565002,129.565002,197000000
1986-01-13,129.565002,129.595001,128.630005,129.095001,129.095001,178980000
1986-01-14,129.095001,129.960007,128.994995,129.179993,129.179993,205800000
1986-01-15,129.179993,131.654999,129.005005,131.535004,131.535004,237400000
1986-01-16,131.535004,133.125000,131.535004,133.059998,133.059998,247800000
1986-01-17,133.059998,133.600006,132.604996,132.770004,132.770004,225600000
1986-01-20,132.770004,132.789993,131.145004,131.604996,131.604996,178860000
1986-01-21,131.604996,132.014999,130.595001,131.089996,131.089996,221400000
1986-01-22,131.089996,131.779999,129.470001,129.615005,129.615005,215200000
1986-01-23,129.615005,129.615005,128.460007,129.270004,129.270004,222200000
